Название;Сслыка;Цена;Место;Время с момента публикации
Диван и 2 кресла;https://www.avito.ru//lipetsk/mebel_i_interer/divan_i_2_kresla_1969837782;12 000;р-н Советский;1 неделю назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1963562124;35 000;р-н Октябрьский;1 день назад
Диван кровать;https://www.avito.ru//lipetsk/mebel_i_interer/divan_krovat_1102685734;6 790;р-н Советский;1 день назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1967079215;2 000;р-н Октябрьский;1 неделю назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1966021376;1 500;р-н Октябрьский;4 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1956171244;8 000;р-н Правобережный;4 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1964884372;6 000;;1 неделю назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1981417995;2 000;р-н Советский;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1953360143;1 050;р-н Октябрьский;5 дней назад
Диван угловой трансформер+кресло;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_transformerkreslo_1950649853;8 000;р-н Правобережный;1 неделю назад
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1968352997;10 000;р-н Октябрьский;4 дня назад
Угловой диван;https://www.avito.ru//lipetsk/mebel_i_interer/uglovoy_divan_1016934013;16 500;р-н Советский;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1923681969;1;р-н Октябрьский;4 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1965230515;25 000;р-н Советский;2 дня назад
"Диван угловой ""Барон """;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_baron_1885690726;22 990;р-н Советский;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1970787809;7 000;р-н Советский;4 дня назад
"Диван угловой ""Премьер 2"" 1520 от производителя";https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_premer_2_1520_ot_proizvoditelya_1025881020;20 000;р-н Правобережный;1 день назад
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1045594377;16 500;р-н Советский;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_994214573;6 900;р-н Правобережный;1 день назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1959339185;22 000;р-н Октябрьский;2 дня назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1970393529;2 000;р-н Советский;5 дней назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_975008896;5 200;р-н Советский;1 день назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1970328642;2 000;;1 день назад
Диван угловой;https://www.avito.ru//lipetsk/mebel_i_interer/divan_uglovoy_1935117288;10 000;р-н Октябрьский;1 неделю назад
Диван;https://www.avito.ru//lipetsk/mebel_i_interer/divan_1930373126;45 000;р-н Октябрьский;1 неделю назад
